date,event_type,events,users_chunk_sum,revenue
2019-12-06,purchase,27505,19940,8121951.9
2019-12-06,view,1655769,285599,0.0
2019-12-07,cart,84266,41550,0.0
2019-12-07,purchase,27012,19373,8007105.2
2019-12-07,view,1727003,283375,0.0
2019-12-08,cart,80796,40168,0.0
2019-12-08,purchase,25766,18637,7499055.5
2019-12-08,view,1725505,281173,0.0
2019-12-09,cart,80724,41025,0.0
2019-12-09,purchase,26802,19553,8144447.55
2019-12-09,view,1629091,293517,0.0
2019-12-10,cart,81454,41880,0.0
2019-12-10,purchase,27059,19923,8243832.67
2019-12-10,view,1653034,309722,0.0
2019-12-11,cart,78991,39868,0.0
2019-12-11,purchase,25906,18865,7689108.7299999995
2019-12-11,view,1607773,297725,0.0
2019-12-12,cart,80203,40288,0.0
2019-12-12,purchase,26044,18792,7862310.09
2019-12-12,view,1653286,313965,0.0
2019-12-13,cart,82441,41540,0.0
2019-12-13,purchase,26712,19541,7829934.23
2019-12-13,view,1638147,306520,0.0
2019-12-14,cart,86721,42913,0.0
2019-12-14,purchase,26559,19660,7666737.93
2019-12-14,view,1762408,310613,0.0
2019-12-15,cart,109746,52619,0.0
2019-12-15,purchase,35077,24628,10729026.19
2019-12-15,view,2168354,359536,0.0
2019-12-16,cart,183799,84155,0.0
2019-12-16,purchase,63796,44959,20260353.81
2019-12-16,view,2877865,449991,0.0
2019-12-17,cart,155450,73053,0.0
2019-12-17,purchase,51899,37381,15348318.350000001
2019-12-17,view,2782626,440082,0.0
2019-12-18,cart,146953,70794,0.0
2019-12-18,purchase,49578,35968,14681222.370000001
2019-12-18,view,2667068,458930,0.0
2019-12-19,cart,137529,67424,0.0
2019-12-19,purchase,48212,34890,14088796.54
2019-12-19,view,2530820,435511,0.0
2019-12-20,cart,127959,61708,0.0
2019-12-20,purchase,46405,33340,13392220.5
2019-12-20,view,2390312,405926,0.0
2019-12-21,cart,124599,58511,0.0
2019-12-21,purchase,44255,31570,12721600.28
2019-12-21,view,2341550,373801,0.0
2019-12-22,cart,127416,61198,0.0
2019-12-22,purchase,44719,32272,12817259.59
2019-12-22,view,2472828,424453,0.0
2019-12-23,cart,126761,61495,0.0
2019-12-23,purchase,46602,33477,13829263.72
2019-12-23,view,2375605,444600,0.0
2019-12-24,cart,124888,60746,0.0
2019-12-24,purchase,44917,32343,13295540.049999999
2019-12-24,view,2330443,430365,0.0
